KING
BUZZING
READING
SHOUTING
CLEARING
CLANGING
BLOWING
VENDING
SCREAMING
HUMMING
GROANING
KNOCKING
GROWLING
CLICKING
GONG
GROANING
CHEERING
BLINDING
SPEAKING
CHATTERING
SINGING
PLAYING
