'II:'ll
'Il:'ll
l':I'
l:I
touchef:touched
anf:and
minf:mind
aII:all
a\. m:a.m
p\. m:p.m
Iaid:laid
Ieft:left
Iet:let
Iend:lend
Iegs:legs
Iost:lost
Iove:love
Iike:like
